date,BOND_value,SPY_value,VGK_value,SCHE_value,VONG_value,balanced_portfolio_value,balanced_portfolio_return
2022-11-16,288242.16178880766,577641.1017368508,91260.54382469761,50455.01666031257,162727.9469889242,1170326.770999593,-0.004489049636457465
2022-11-17,287033.868341352,575873.622780423,91144.33740762573,50770.358706948886,162252.1435334144,1167074.330769764,-0.002779087268977909
2022-11-18,286556.90123395814,578488.2781496793,91526.18186464606,50328.88066793948,162308.1159774736,1169208.3578936965,0.0018285271706086625
2022-11-21,286461.49785907567,576384.8717850862,90862.10312542385,49866.37376642379,161104.5953871809,1164679.4419231904,-0.003873489220231785
2022-11-22,287955.9516641601,584141.2676532819,92090.64388479028,49929.443828313924,163343.70846958683,1177461.0155001332,0.010974327456005462
2022-11-23,289100.6926287128,587822.2967103268,93136.5539925137,50265.810606049345,164855.1151832118,1185180.4691208145,0.006556016308873147
2022-11-25,289418.65411130246,587690.8055129534,93767.42715870992,50118.64988257715,164491.2458498184,1185486.7825153614,0.00025845295507975763
2022-11-28,289005.28925383027,578313.0471118574,92256.65866140116,49950.46855941303,161720.34610184154,1171245.8096883432,-0.012012763901763424
2022-11-29,288591.89951284876,577319.7542755015,92472.48179755105,50938.54416152018,160684.7428437264,1170007.422591148,-0.0010573246768112998
2022-11-30,290054.6268435005,595505.7022857657,94282.09390783425,52326.05660325287,167206.18391973802,1199374.6635600913,0.02510004671928101
2022-12-01,293487.534892524,595067.4435738594,95361.20958858368,52220.945341978884,167598.03409216003,1203735.167489106,0.0036356478600869657
2022-12-02,294073.3882555114,594380.9635313745,95560.43648248012,52452.196727033144,167318.13957385832,1203785.1245702575,4.150172106021088e-05
2022-12-05,291617.43564879417,583688.4742738974,94448.10214018557,51842.533233452436,164071.41483836778,1185667.9601346974,-0.015050164739348948
2022-12-06,292478.6290242007,575274.7129775111,93833.83830476191,51968.66922582553,161356.47676844816,1174912.3263007475,-0.009071370902801523
2022-12-07,295572.47039333667,574296.0453673092,93750.83091645649,52988.19409086485,160460.85306748966,1177068.393835457,0.0018350880201403186
2022-12-08,294073.3882555114,578795.0456642123,94116.06604270425,52151.84755702458,162532.02728571417,1181668.3748051669,0.003907998034609506
2022-12-09,292765.68518816645,574471.321684469,94116.06604270425,51850.13915405638,161244.5318803298,1174447.743949726,-0.006110539140587012
2022-12-12,292893.28782415955,582753.591783482,94514.51328623758,51656.186112952346,163735.53711000495,1185553.1161168364,0.00945582485412455
2022-12-13,295030.28360791283,587165.021840812,95892.47257996145,52044.09219516041,164911.08762727096,1195042.9578511177,0.008004569011099472
2022-12-14,295987.1540768049,583410.8666529966,95992.08929903945,52108.744585997476,164015.43162830666,1191514.2862431451,-0.0029527571245787643
2022-12-15,296369.8624507467,569139.6796422156,93385.58924594914,51095.87640945022,159702.36695756105,1169693.3747059228,-0.018313596227220952
2022-12-16,296019.0049687844,565062.8551986178,92206.85684612172,50988.12517899322,157129.7982388436,1161406.6404313608,-0.007084535531925562
2022-12-19,293658.7792225713,557651.2701824564,92769.23983353368,51117.42582926018,155193.73734490116,1150390.4524127226,-0.009485211841518848
2022-12-20,292351.1010387357,558414.3175853953,92253.67447904013,51009.678730210355,155193.73734490116,1149222.5091782827,-0.00101525810822789
2022-12-21,293148.41844561766,566763.9633392607,93541.24445967076,51483.78249165828,157831.25709490743,1162768.6658311146,0.011787235756909764
2022-12-22,292797.58584716474,558678.3866842523,92721.88352952206,50988.12517899322,154772.84049925898,1149958.8217391914,-0.011016674656232794
2022-12-23,292032.094448753,561892.1329737722,93022.87365963339,50988.12517899322,155221.7827799414,1153157.009041093,0.0027811320209403245
2022-12-27,290246.0059139807,559676.298013078,93206.8197074487,51720.83850378941,153678.55176459707,1148528.513902894,-0.0040137597065362796
2022-12-28,289416.68831406307,552720.6672363239,92354.00452241057,50837.27510891629,151742.48010465273,1137071.1152863665,-0.009975719782170045
2022-12-29,291578.44020360743,562669.8508822032,93842.24113404166,51677.73553276231,155025.36784064237,1154793.635593257,0.015586114244426241
2022-12-30,289512.7386601889,561187.7223134637,92705.16949059648,51009.678730210355,154660.59416308644,1149075.9033575458,-0.004951302171641858
2023-01-03,291112.59901091823,558825.1822978489,93875.68230041195,51591.53785352245,153482.13682529802,1148887.1382879997,-0.00016427554436970748
2023-01-04,292488.45801039756,563139.442895963,95664.9024978948,52949.20914125067,153818.8327698079,1158060.845315314,0.007984863544546528
2023-01-05,292296.48173569265,556712.0861549368,94795.3732739311,52819.908490983704,151602.17756743802,1148226.0272229821,-0.008492488224704609
2023-01-06,295016.224425125,569478.640766023,97320.35802989648,53811.218984906656,155109.5472097708,1170735.989415722,0.019604121191348467
2023-01-09,295752.2039814369,569155.8443658596,97939.05887330428,54069.828548254925,155726.8482287101,1172643.7839975657,0.0016295685783058733
2023-01-10,294952.2489225629,573147.2180051347,98407.26792378622,54565.48586091998,157045.60810371322,1178117.828816117,0.004668122488050264
2023-01-11,296776.0857410328,580396.3494504059,99109.57822737932,54716.33593099691,159935.6767271067,1190934.0260769217,0.010878536040561881
2023-01-12,299527.87839051953,582509.40031398,100330.2593310098,55082.69259339501,160384.61900778912,1197834.8496366935,0.0057944633444591
2023-01-13,298247.97020312864,584769.2467911504,100798.46838149172,55449.04925579311,161338.61597123827,1200603.3506028021,0.002311254316025524
2023-01-17,298056.0188119331,583698.0282142024,101049.29021778806,55147.34498423208,161506.97470949515,1199457.6569376509,-0.0009542649240283918
2023-01-18,300775.8112683841,574482.6415189536,100748.30008767672,54867.18600107384,159542.85761451058,1190416.796490599,-0.0075374569454450535
